Source,Target,Type,Id,Label,Weight
216,86,Undirected,23943,,1
2183,534,Undirected,23944,,1
255,240,Undirected,23945,,1
437,28,Undirected,23946,,1
722,658,Undirected,23947,,1
569,424,Undirected,23948,,1
711,343,Undirected,23949,,1
347,166,Undirected,23950,,1
1146,708,Undirected,23951,,1
665,638,Undirected,23952,,1
758,283,Undirected,23953,,1
873,47,Undirected,23954,,1
283,91,Undirected,23955,,1
665,130,Undirected,23956,,1
1105,932,Undirected,23957,,1
841,251,Undirected,23958,,1
342,5,Undirected,23959,,1
2080,615,Undirected,23960,,1
894,483,Undirected,23961,,1
967,665,Undirected,23962,,1
562,255,Undirected,23963,,1
673,640,Undirected,23964,,1
3004,466,Undirected,23965,,1
2143,621,Undirected,23966,,1
1066,543,Undirected,23967,,1
672,365,Undirected,23968,,1
982,401,Undirected,23969,,1
291,84,Undirected,23970,,1
789,767,Undirected,23971,,1
2502,734,Undirected,23972,,1
284,111,Undirected,23973,,1
1949,986,Undirected,23974,,1
464,455,Undirected,23975,,1
787,370,Undirected,23976,,1
971,387,Undirected,23977,,1
655,589,Undirected,23978,,1
2232,261,Undirected,23979,,1
772,610,Undirected,23980,,1
123,96,Undirected,23981,,1
2732,387,Undirected,23982,,1
545,274,Undirected,23983,,1
44,7,Undirected,23984,,1
2365,499,Undirected,23985,,1
1986,927,Undirected,23986,,1
463,132,Undirected,23987,,1
304,191,Undirected,23988,,1
1343,82,Undirected,23989,,1
2899,499,Undirected,23990,,1
2153,981,Undirected,23991,,1
975,787,Undirected,23992,,1
2333,860,Undirected,23993,,1
883,695,Undirected,23994,,1
836,499,Undirected,23995,,1
593,260,Undirected,23996,,1
809,196,Undirected,23997,,1
1433,750,Undirected,23998,,1
949,592,Undirected,23999,,1
272,191,Undirected,24000,,1
230,225,Undirected,24001,,1
628,216,Undirected,24002,,1
981,694,Undirected,24003,,1
661,11,Undirected,24004,,1
916,383,Undirected,24005,,1
79,14,Undirected,24006,,1
370,5,Undirected,24007,,1
816,648,Undirected,24008,,1
2561,125,Undirected,24009,,1
910,475,Undirected,24010,,1
590,103,Undirected,24011,,1
169,103,Undirected,24012,,1
865,274,Undirected,24013,,1
1556,274,Undirected,24014,,1
797,441,Undirected,24015,,1
2593,789,Undirected,24016,,1
2588,346,Undirected,24017,,1
1223,349,Undirected,24018,,1
886,86,Undirected,24019,,1
1852,287,Undirected,24020,,1
666,362,Undirected,24021,,1
775,246,Undirected,24022,,1
2403,66,Undirected,24023,,1
605,130,Undirected,24024,,1
295,15,Undirected,24025,,1
883,166,Undirected,24026,,1
816,378,Undirected,24027,,1
902,671,Undirected,24028,,1
745,673,Undirected,24029,,1
916,544,Undirected,24030,,1
613,379,Undirected,24031,,1
2067,144,Undirected,24032,,1
877,527,Undirected,24033,,1
1217,980,Undirected,24034,,1
1954,760,Undirected,24035,,1
811,265,Undirected,24036,,1
1247,521,Undirected,24037,,1
615,614,Undirected,24038,,1
902,419,Undirected,24039,,1
1490,614,Undirected,24040,,1
2593,918,Undirected,24041,,1
2569,90,Undirected,24042,,1
347,215,Undirected,24043,,1
2067,337,Undirected,24044,,1
682,108,Undirected,24045,,1
2099,536,Undirected,24046,,1
748,348,Undirected,24047,,1
1590,776,Undirected,24048,,1
838,745,Undirected,24049,,1
738,525,Undirected,24050,,1
1678,28,Undirected,24051,,1
